artist,title,release_date,genres
Nas,Michael & Quincy,2022-11-11,"{""conscious hip hop"",""east coast hip hop"",""gangster rap"",""hardcore hip hop"",""hip hop"",""queens hip hop"",rap}"
Tate McRae,uh oh,2022-09-30,{pop}
Baby Keem,bank account (feat. Lil Uzi Vert),2022-10-28,"{""hip hop"",rap}"
Freddie Gibbs,Too Much (feat. Moneybagg Yo),2022-09-02,"{""alternative hip hop"",""hip hop"",""indiana hip hop"",rap,""southern hip hop"",""underground hip hop""}"
Ice Spice,Bikini Bottom,2022-10-28,{}
Diddy & Bryson Tiller,Gotta Move On,2022-06-17,"{""dance pop"",""east coast hip hop"",""hip hop"",""hip pop"",""pop rap"",r&b,rap}"
Mariah the Scientist,Spread Thin,2022-03-11,"{""alternative r&b"",""indie r&b"",pop,r&b}"
dvsn,Take It Slow,2022-10-28,"{""canadian contemporary r&b"",pop,""pop r&b"",r&b,""trap soul"",""urban contemporary""}"
Wizkid,2 Sugar (feat. Ayra Starr),2022-11-11,"{""afro dancehall"",afropop,azonto,""nigerian hip hop"",""nigerian pop""}"
Babyface,Liquor (feat. Ari Lennox),2022-10-21,"{""contemporary r&b"",""neo soul"",""quiet storm"",r&b,""urban contemporary""}"
Alicia Keys,December Back 2 June,2022-10-28,"{""hip pop"",""neo soul"",pop,r&b,""urban contemporary""}"
Chris Brown,It's Giving Christmas,2022-11-16,"{""dance pop"",pop,r&b}"
Coco Jones,ICU,2022-11-04,"{""post-teen pop""}"
Jacquees,Still That,2022-11-18,"{""atl hip hop"",""pop r&b"",""pop rap"",r&b,rap,""urban contemporary""}"
Ella Mai,How (feat. Roddy Ricch),2022-05-06,"{""dance pop"",pop,""post-teen pop"",r&b,rap,""uk contemporary r&b"",""urban contemporary""}"
Jeremih,Changes,2022-10-21,"{""chicago rap"",""dance pop"",pop,""pop rap"",r&b,""urban contemporary""}"
Mahalia,Bag Of You,2022-11-11,"{""alternative r&b"",""indie anthem-folk"",""neo soul"",pop,r&b,""uk contemporary r&b""}"
Chris Brown,Call Me Every Day (feat. Wizkid),2022-11-18,"{""dance pop"",pop,r&b}"
Kranium,6ex In The Morning,2022-11-18,"{basshall,dancehall}"
dvsn,What's Up (feat. Jagged Edge),2022-09-30,"{""canadian contemporary r&b"",pop,""pop r&b"",r&b,""trap soul"",""urban contemporary""}"
Lucky Daye,Guess,2022-03-10,"{""alternative r&b"",""indie r&b"",pop,r&b}"
Sonder,Mad Riches,2022-10-21,{r&b}
Ashanti,Falling For You,2022-10-28,"{""dance pop"",""hip hop"",""hip pop"",r&b,""urban contemporary""}"
Coco Jones,Double Back,2022-11-04,"{""post-teen pop""}"
Bryson Tiller,Outside,2022-09-08,"{""kentucky hip hop"",pop,r&b,rap,trap}"
GIVĒON,Lost Me,2022-06-24,"{pop,r&b}"
Tone Stith,B.E.D,2022-11-25,"{""alternative r&b"",""chill r&b"",""indie r&b"",""pop r&b"",r&b,""trap soul""}"
Kelela,On the Run,2022-11-15,"{afrofuturism,""alternative r&b"",""art pop"",electropop,""escape room"",""experimental r&b"",""indie r&b"",""indie soul"",pop}"
Masego,Say You Want Me,2022-11-04,{}
Jessie Reyez & 6LACK,FOREVER,,
Ari Lennox,Waste My Time,2022-09-09,"{""alternative r&b"",""dmv rap"",""neo soul"",pop,r&b,rap,""urban contemporary""}"
"NxWorries, Knxwledge, Anderson .Paak & H.E.R.",Where I Go,2022-10-19,"{""hip hop"",""indie soul"",""neo soul"",""underground hip hop""}"
Sault,Fight for Love,2022-11-11,"{""alternative r&b"",""indie soul"",""pop soul""}"
dvsn,Don't Take Your Love,2022-10-21,"{""canadian contemporary r&b"",pop,""pop r&b"",r&b,""trap soul"",""urban contemporary""}"
Muni Long,Plot Twist,2022-09-23,"{""indie r&b"",pop,""pop r&b"",r&b,rap}"
Jacquees,Tipsy,2022-11-18,"{""atl hip hop"",""pop r&b"",""pop rap"",r&b,rap,""urban contemporary""}"
Mariah the Scientist,Bout Mine,2022-10-28,"{""alternative r&b"",""indie r&b"",pop,r&b}"
Tems,Free Mind,2020-09-25,"{""afro r&b"",alte,""nigerian pop"",r&b}"
SZA,Tread Carefully,2022-06-09,"{pop,r&b,rap}"
Beyoncé,PLASTIC OFF THE SOFA,2022-07-29,"{""dance pop"",pop,r&b}"
Pink Sweat$,Lay Up N’ Chill (feat. A Boogie Wit da Hoodie),2022-10-14,"{""bedroom soul"",""chill r&b"",pop}"
Kaash Paige & 6LACK,Miss My Dawgs,2022-09-16,{r&b}
Ciara & Summer Walker,Better Thangs (Remix) [feat. GloRilla],2022-09-28,"{""dance pop"",""hip pop"",pop,""post-teen pop"",r&b,""urban contemporary""}"
Chlöe & Latto,For the Night,2022-10-28,"{""dance pop"",pop,""post-teen pop"",r&b,rap}"
GIVĒON,Tryna Be,2022-06-24,"{pop,r&b}"
Rihanna,Born Again,2022-11-11,"{""barbadian pop"",""dance pop"",pop,""urban contemporary""}"
SZA,I Hate U,2021-12-03,"{pop,r&b,rap}"
Chris Brown,No Time Like Christmas,2022-11-16,"{""dance pop"",pop,r&b}"
Burna Boy,Solid (feat. Kehlani & Blxst),2022-07-07,"{""afro dancehall"",dancehall,""nigerian hip hop"",""nigerian pop""}"
Summer Walker,Constant B******t,2021-11-05,"{pop,r&b,rap}"
Chris Brown,Closure (feat. H.E.R.),2022-11-18,"{""dance pop"",pop,r&b}"
dvsn,Last Time (feat. Yung Bleu),2022-10-28,"{""canadian contemporary r&b"",pop,""pop r&b"",r&b,""trap soul"",""urban contemporary""}"
Kaash Paige,AWESOME,2022-11-18,{r&b}
Arin Ray,Bad Idea (feat. Blxst),2022-06-03,"{""alternative r&b"",""chill r&b"",""indie r&b"",""pop r&b"",r&b,""trap soul""}"
Tems,Found (feat. Brent Faiyaz),2021-09-09,"{""afro r&b"",alte,""nigerian pop"",r&b}"
Muni Long,Hrs & Hrs,2022-09-23,"{""indie r&b"",pop,""pop r&b"",r&b,rap}"
Maleek Berry,My Way,2022-11-11,"{""afro dancehall"",afropop,azontobeats,""nigerian pop"",""swedish dancehall"",""uk dancehall""}"
"Summer Walker, SZA & Cardi B",No Love (Extended Version),2022-03-25,"{pop,r&b,rap}"
Brent Faiyaz,LOOSE CHANGE,2022-07-08,"{""dmv rap"",""hip hop"",pop,r&b,rap}"
Ari Lennox,Hoodie,2022-09-09,"{""alternative r&b"",""dmv rap"",""neo soul"",pop,r&b,rap,""urban contemporary""}"
Eric Bellinger,Obsession (feat. Muni Long) [Remix],2022-11-18,"{""pop r&b"",""pop rap"",r&b,""urban contemporary""}"
Chlöe,Surprise,2022-06-17,"{""dance pop"",pop,""post-teen pop"",r&b,rap}"
SZA,2AM,2022-06-09,"{pop,r&b,rap}"
Snoh Aalegra,DO 4 LOVE,2021-10-29,"{""alternative r&b"",""neo soul"",r&b,""scandinavian r&b"",""swedish soul""}"
Ari Lennox,Pressure,2021-09-10,"{""alternative r&b"",""dmv rap"",""neo soul"",pop,r&b,rap,""urban contemporary""}"
SiR,Nothing Even Matters,2022-09-23,"{""alternative r&b"",""hip hop"",""indie soul"",""la pop"",""neo soul"",r&b,rap}"
RAAHiiM,Spin the Block,2022-11-10,"{""indie r&b"",""trap soul""}"
Babyface,Seamless (feat. Kehlani),2022-10-21,"{""contemporary r&b"",""neo soul"",""quiet storm"",r&b,""urban contemporary""}"
Kehlani,everything,2022-04-29,"{""dance pop"",pop,""post-teen pop"",r&b,rap}"
Omah Lay,i’m a mess,2022-10-21,{}
Wizkid,Money & Love,2022-10-27,"{""afro dancehall"",afropop,azonto,""nigerian hip hop"",""nigerian pop""}"
Beyoncé,HEATED,2022-07-29,"{""dance pop"",pop,r&b}"
John Legend,Splash (feat. Ty Dolla $ign & Jhené Aiko),2022-09-09,"{""neo soul"",pop,""pop soul"",r&b,""urban contemporary""}"
Kiana Ledé,Irresponsible,2022-09-16,"{""dance pop"",pop,""pop r&b"",""post-teen pop"",r&b,rap,""urban contemporary""}"
Dess Dior & Mariah the Scientist,Stone Cold,2022-10-19,"{""trap queen""}"
Sonder,Break You Off,2022-10-21,{r&b}
Brandy & Monica,The Boy Is Mine,2018-06-29,{}
SiR,Life Is Good (feat. Scribz Riley),2022-07-08,"{""alternative r&b"",""hip hop"",""indie soul"",""la pop"",""neo soul"",r&b,rap}"
Alex Vaughn,So Be It,2022-10-07,"{""alternative r&b"",""indie r&b""}"
Ari Lennox & Summer Walker,Queen Space,2022-10-03,{}
Doechii & SZA,Persuasive,2022-07-22,"{""alternative r&b"",""escape room"",pop,r&b,rap,""viral rap""}"
Jessie Reyez,ONLY ONE,2022-09-16,"{""canadian contemporary r&b"",""canadian pop"",pop,r&b}"
FLO,Not My Job,2022-09-21,"{pop,""post-teen pop"",r&b}"
Kim Petras,If Jesus Was A Rockstar,2022-11-11,"{""dance pop"",pop,""post-teen pop"",transpop}"
Meghan Trainor,Made You Look,2022-10-21,"{""dance pop"",""hip pop"",pop,""post-teen pop""}"
